,fecha,institution_id,logged_users
632,2018-05-03,753,42
633,2018-05-07,720,2
634,2018-05-07,6,1
635,2018-05-07,115,306
636,2018-05-08,375,4
637,2018-05-09,38,1
638,2018-05-09,361,12
639,2018-05-09,739,2
640,2018-05-10,17,1
641,2018-05-10,14,1
642,2018-05-11,583,3
643,2018-05-11,524,1
644,2018-05-11,713,5
645,2018-05-14,742,12
646,2018-05-14,157,1
647,2018-05-15,15,1
648,2018-05-16,447,1
649,2018-05-17,215,4
650,2018-05-18,754,2
651,2018-05-19,693,1
652,2018-05-24,756,15
653,2018-05-25,743,12
654,2018-05-25,716,1
655,2018-05-25,4,1
656,2018-05-26,310,13
657,2018-05-28,736,15
658,2018-05-30,757,12
659,2018-05-31,158,1
660,2018-06-01,541,207
661,2018-06-01,728,2270
662,2018-06-01,758,4
663,2018-06-01,75,1155
664,2018-06-01,653,54
665,2018-06-01,29,4085
666,2018-06-01,554,13040
667,2018-06-01,730,41
668,2018-06-01,12,538
669,2018-06-01,752,348
670,2018-06-01,115,192
671,2018-06-01,677,612
672,2018-06-01,745,17
673,2018-06-01,731,772
674,2018-06-01,717,144
675,2018-06-01,753,4
676,2018-06-01,687,49
677,2018-06-01,746,272
678,2018-06-01,586,51
679,2018-06-01,733,22
680,2018-06-01,721,1639
681,2018-06-01,756,635
682,2018-06-01,0,274
683,2018-06-01,708,653
684,2018-06-01,747,2047
685,2018-06-01,44,25
686,2018-06-01,736,15
687,2018-06-01,536,4
688,2018-06-01,727,1531
689,2018-06-01,757,189
690,2018-06-01,1,1284
691,2018-06-01,254,3
692,2018-06-01,748,24
693,2018-06-01,48,266
694,2018-06-01,738,54
695,2018-06-02,43,11
696,2018-06-02,228,51
697,2018-06-04,743,36
698,2018-06-04,603,5
699,2018-06-04,18,18
700,2018-06-05,749,308
701,2018-06-05,17,1
702,2018-06-06,361,6
703,2018-06-06,524,15
704,2018-06-07,24,2
705,2018-06-07,375,7
706,2018-06-07,420,2
707,2018-06-12,649,1
708,2018-06-14,760,25
709,2018-06-14,38,18
710,2018-06-19,715,13
711,2018-06-21,761,24
712,2018-06-22,709,19
713,2018-06-25,5,1
714,2018-06-25,157,2
715,2018-06-26,579,3
716,2018-06-28,713,6
717,2018-06-28,13,1
718,2018-07-01,115,260
719,2018-07-01,721,1190
720,2018-07-01,44,15
721,2018-07-01,541,553
722,2018-07-01,708,8914
723,2018-07-01,749,2177
724,2018-07-01,727,1097
725,2018-07-01,48,230
726,2018-07-01,554,9490
727,2018-07-01,752,1501
728,2018-07-01,728,263
729,2018-07-01,677,84
730,2018-07-01,746,244
731,2018-07-01,1,392
732,2018-07-01,730,26
733,2018-07-01,75,986
734,2018-07-01,747,511
735,2018-07-01,12,443
736,2018-07-01,228,55
737,2018-07-01,731,571
738,2018-07-01,29,857
739,2018-07-02,0,163
740,2018-07-02,18,6
741,2018-07-02,756,86
742,2018-07-02,687,48
743,2018-07-03,748,58
744,2018-07-03,653,37
745,2018-07-03,761,30
746,2018-07-03,753,15
747,2018-07-04,603,12
748,2018-07-04,736,3
749,2018-07-04,760,32
750,2018-07-04,124,2
751,2018-07-04,743,37
752,2018-07-04,579,2
753,2018-07-04,717,28
754,2018-07-05,524,7
755,2018-07-06,13,4
756,2018-07-06,738,19
757,2018-07-06,157,62
758,2018-07-06,762,9
759,2018-07-06,757,5
760,2018-07-09,709,33
761,2018-07-09,586,20
762,2018-07-10,694,1
763,2018-07-10,15,3
764,2018-07-10,715,13
765,2018-07-11,375,4
766,2018-07-12,713,2
767,2018-07-13,361,14
768,2018-07-18,529,1
769,2018-07-20,54,2
770,2018-07-22,558,4
771,2018-07-24,17,3
772,2018-07-24,536,4
773,2018-07-25,215,1
774,2018-07-26,468,1
775,2018-07-26,664,1
776,2018-07-26,24,4
777,2018-07-31,82,4
778,2018-08-01,677,84
779,2018-08-01,75,545
780,2018-08-01,730,11
781,2018-08-01,24,3
782,2018-08-01,536,6
783,2018-08-01,749,909
784,2018-08-01,687,24
785,2018-08-01,743,17
786,2018-08-01,82,9
787,2018-08-01,731,198
788,2018-08-01,29,4146
789,2018-08-01,541,455
790,2018-08-01,717,235
791,2018-08-01,752,814
792,2018-08-01,12,2494
793,2018-08-01,708,4290
794,2018-08-01,115,162
795,2018-08-01,735,1
796,2018-08-01,554,6120
797,2018-08-01,721,212
798,2018-08-01,753,12
799,2018-08-01,375,16
800,2018-08-01,746,3522
801,2018-08-01,0,571
802,2018-08-01,603,987
803,2018-08-01,727,7218
804,2018-08-01,754,25
805,2018-08-01,473,1
806,2018-08-01,747,861
807,2018-08-01,1,960
808,2018-08-01,653,44
809,2018-08-01,48,285
810,2018-08-01,728,77
811,2018-08-01,756,117
812,2018-08-01,524,21
813,2018-08-01,715,5
814,2018-08-02,228,27
815,2018-08-02,741,30
816,2018-08-02,157,3
817,2018-08-03,709,6
818,2018-08-03,713,13
819,2018-08-03,738,5
820,2018-08-03,748,4
821,2018-08-05,716,2
822,2018-08-06,760,23
823,2018-08-06,361,2
824,2018-08-06,736,28
825,2018-08-06,44,17
826,2018-08-07,745,1
827,2018-08-08,558,6
828,2018-08-09,124,1
