,id,Cliente,Usuarios totales,Usuarios activos,Usuarios cargados 2018,Usuarios cargados 2019,Usuarios cargados 2020,Usuarios cargados 2021,Usuarios cargados 2022,Usuarios con ingreso a plataforma 2019,Usuarios con ingreso a plataforma 2020,Usuarios con ingreso a plataforma 2021,Usuarios con ingreso a plataforma 2022
86,92,Chanimal,4,4,0,0,0,0,0,0,0,0,0
87,93,PUni,1,1,0,0,0,0,0,0,0,0,0
88,94,Palo Alto University,2,2,0,0,0,0,0,0,0,0,0
89,95,pau2,1,1,0,0,0,0,0,0,0,0,0
90,96,Portal Minero,4,2,0,0,0,0,0,0,0,0,0
91,97,Universidad Andrés Bello,32,13,0,0,0,0,0,0,0,0,0
92,98,Programa de Acceso Inclusivo; Equidad y Permanencia Usach,32,18,0,0,0,0,0,0,0,0,0
93,99,sfdsf,2,2,0,0,0,0,0,0,0,0,0
94,100,Teaminside,2,2,0,0,0,0,0,0,0,0,0
95,101,Municipalidad de Vitacura,3,2,0,0,0,0,0,0,0,0,0
96,102,Larrain Vial,2,2,0,0,0,0,0,0,0,0,0
97,103,Inacap,4,3,0,0,0,0,0,0,0,0,0
98,104,La Gran,2,2,0,0,0,0,0,0,0,0,0
99,105,Nico,2,2,0,0,0,0,0,0,0,0,0
100,106,ICP Pachayachachiq,2,2,0,0,0,0,0,0,0,0,0
101,107,Derco Parts,6,6,0,0,0,0,0,0,0,0,0
102,108,d3SAS,2,2,0,0,0,0,0,0,0,0,0
103,109,ninguna,2,2,0,0,0,0,0,0,0,0,0
104,110,Code Academy,2,2,0,0,0,0,0,0,0,0,0
105,111,La Serena Jam,3,2,0,0,0,0,0,0,0,0,0
106,112,Abrasol,2,2,0,0,0,0,0,0,0,0,0
107,113,U de Chile,2,2,0,0,0,0,0,0,0,0,0
108,114,Socmed,3,2,0,0,0,0,0,0,0,0,0
109,115,Postgrados Universidad Diego Portales,211,200,23,120,26,28,0,18,94,42,7
110,116,Ideas corporativas,2,2,0,0,0,0,0,0,0,0,0
111,117,Facultad de Ciencias Económicas y Empresariales - Universidad de los Andes,30,29,0,0,0,0,0,0,0,0,0
112,118,home,2,2,0,0,0,0,0,0,0,0,0
113,119,Diario Financiero,886,848,0,0,0,0,0,1,1,0,2
114,120,StartX,1,1,0,0,0,0,0,0,0,0,0
115,121,matt,1,1,0,0,0,0,0,0,0,0,0
116,122,horny,1,1,0,0,0,0,0,0,0,0,0
117,123,perimeter institute of theoritical physics,2,2,0,0,0,0,0,0,0,0,0
118,124,AppDemo,3,3,0,0,0,0,0,0,0,0,0
119,125,Instituto de prueba,3,2,0,0,0,0,0,0,0,0,0
120,126,Prueba Uchile,2,2,0,0,0,0,0,0,0,0,0
121,127,Andes Digital ,106,69,3,0,0,0,1,0,0,0,0
122,128,AndesDigital.tv,3,2,0,0,0,0,0,0,0,0,0
123,129,iberoamericana,2,2,0,0,0,0,0,0,0,0,0
124,130,Academia de Hebreo Bíblico,2,2,0,0,0,0,0,0,0,0,0
